het,aob,
20040,265,200,
25050,357,200,
30060,400,200,
35070,447,200,
40080,578,200,
45090,738,200,
50100,821,200,
55110,972,208,
60120,1200,234,
65130,1429,266,
70140,1625,298,
75150,1834,316,
80160,2099,352,
85170,2391,376,
90180,2638,390,
95190,2887,400,
100200,3105,400,
105210,3312,400,
110220,3534,402,
115230,3775,409,
120240,4016,420,
125250,4247,428,
130260,4467,453,
135270,4668,473,
140280,4874,500,
145290,5101,529,
150300,5305,568,
155310,5521,600,
160320,5705,627,
165330,5908,643,
170340,6101,666,
175350,6322,683,
180360,6495,698,
185370,6692,714,
190380,6905,731,
195390,7114,743,
200400,7308,759,
205410,7487,770,
210420,7678,788,
215430,7880,801,
220440,8067,813,
225450,8301,828,
230460,8474,837,
235470,8684,849,
240480,8858,865,
245490,9035,882,
250500,9248,891,
255510,9454,909,
260520,9653,919,
265530,9849,933,
270540,10035,943,
275550,10257,957,
280560,10439,965,
285570,10610,977,
290580,10824,994,
295590,11022,1007,
300600,11150,1021,
305610,11150,1021,
310620,11150,1021,
315630,11150,1021,
320640,11150,1021,
325650,11150,1021,
330660,11150,1021,
335670,11150,1021,
340680,11150,1021,
345690,11150,1021,
350700,11150,1021,
355710,11150,1021,
360720,11150,1021,
365730,11150,1021,
370740,11150,1021,
375750,11150,1021,
380760,11150,1021,
385770,11150,1021,
390780,11150,1021,
395790,11150,1021,
400800,11150,1021,
405810,11150,1021,
410820,11150,1021,
415830,11150,1021,
420840,11150,1021,
425850,11150,1021,
430860,11150,1021,
435870,11150,1021,
440880,11150,1021,
445890,11150,1021,
450900,11150,1021,
455910,11150,1021,
460920,11150,1021,
465930,11150,1021,
470940,11150,1021,
475950,11150,1021,
480960,11150,1021,
485970,11150,1021,
490980,11150,1021,
495990,11150,1021,
501000,11150,1021,
506010,11150,1021,
511020,11150,1021,
516030,11150,1021,
521040,11150,1021,
526050,11150,1021,
531060,11150,1021,
536070,11150,1021,
541080,11150,1021,
546090,11150,1021,
551100,11150,1021,
556110,11150,1021,
561120,11150,1021,
566130,11150,1021,
571140,11150,1021,
576150,11150,1021,
581160,11150,1021,
586170,11150,1021,
591180,11150,1021,
596190,11150,1021,
601200,11150,1021,
606210,11150,1021,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,357,200,
30060,400,200,
35070,446,200,
40080,575,200,
45090,738,200,
50100,819,200,
55110,968,206,
60120,1199,231,
65130,1423,265,
70140,1619,296,
75150,1818,313,
80160,2067,349,
85170,2352,371,
90180,2617,390,
95190,2833,400,
100200,3057,400,
105210,3252,400,
110220,3467,401,
115230,3685,409,
120240,3922,418,
125250,4162,434,
130260,4358,449,
135270,4570,469,
140280,4754,486,
145290,4988,514,
150300,5174,544,
155310,5356,579,
160320,5558,604,
165330,5760,618,
170340,5928,642,
175350,6106,663,
180360,6307,685,
185370,6496,710,
190380,6705,723,
195390,6884,734,
200400,7069,748,
205410,7257,761,
210420,7454,771,
215430,7657,781,
220440,7856,793,
225450,8023,808,
230460,8209,818,
235470,8384,836,
240480,8560,856,
245490,8720,867,
250500,8912,886,
255510,9083,903,
260520,9315,915,
265530,9497,931,
270540,9679,944,
275550,9860,953,
280560,10048,964,
285570,10234,976,
290580,10427,984,
295590,10607,995,
300600,10790,1007,
305610,10945,1018,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,357,200,
30060,400,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,442,200,
40080,584,200,
45090,732,200,
50100,824,200,
55110,966,205,
60120,1194,232,
65130,1431,264,
70140,1620,294,
75150,1813,317,
80160,2060,347,
85170,2348,370,
90180,2602,390,
95190,2833,400,
100200,3045,400,
105210,3270,400,
110220,3471,402,
115230,3696,405,
120240,3911,413,
125250,4141,423,
130260,4346,447,
135270,4563,474,
140280,4773,497,
145290,4980,521,
150300,5195,546,
155310,5400,567,
160320,5585,585,
165330,5758,614,
170340,5941,640,
175350,6113,659,
180360,6319,684,
185370,6492,703,
190380,6695,717,
195390,6875,729,
200400,7049,739,
205410,7235,751,
210420,7406,771,
215430,7613,780,
220440,7827,796,
225450,8012,812,
230460,8196,826,
235470,8388,838,
240480,8567,858,
245490,8730,873,
250500,8916,883,
255510,9106,891,
260520,9293,906,
265530,9478,916,
270540,9661,928,
275550,9862,939,
280560,10024,951,
285570,10194,966,
290580,10391,980,
295590,10566,990,
300600,10566,990,
305610,10566,990,
310620,10566,990,
315630,10566,990,
320640,10566,990,
325650,10566,990,
330660,10566,990,
335670,10566,990,
340680,10566,990,
345690,10566,990,
350700,10566,990,
355710,10566,990,
360720,10566,990,
365730,10566,990,
370740,10566,990,
375750,10566,990,
380760,10566,990,
385770,10566,990,
390780,10566,990,
395790,10566,990,
400800,10566,990,
405810,10566,990,
410820,10566,990,
415830,10566,990,
420840,10566,990,
425850,10566,990,
430860,10566,990,
435870,10566,990,
440880,10566,990,
445890,10566,990,
450900,10566,990,
455910,10566,990,
460920,10566,990,
465930,10566,990,
470940,10566,990,
475950,10566,990,
480960,10566,990,
485970,10566,990,
490980,10566,990,
495990,10566,990,
501000,10566,990,
506010,10566,990,
511020,10566,990,
516030,10566,990,
521040,10566,990,
526050,10566,990,
531060,10566,990,
536070,10566,990,
541080,10566,990,
546090,10566,990,
551100,10566,990,
556110,10566,990,
561120,10566,990,
566130,10566,990,
571140,10566,990,
576150,10566,990,
581160,10566,990,
586170,10566,990,
591180,10566,990,
596190,10566,990,
601200,10566,990,
606210,10566,990,
611220,10566,990,
616230,10566,990,
621240,10566,990,
626250,10566,990,
631260,10566,990,
636270,10566,990,
641280,10566,990,
646290,10566,990,
651300,10566,990,
656310,10566,990,
661320,10566,990,
666330,10566,990,
671340,10566,990,
676350,10566,990,
681360,10566,990,
686370,10566,990,
691380,10566,990,
696390,10566,990,
701400,10566,990,
706410,10566,990,
711420,10566,990,
716430,10566,990,
721440,10566,990,
726450,10566,990,
731460,10566,990,
736470,10566,990,
741480,10566,990,
746490,10566,990,
751500,10566,990,
756510,10566,990,
761520,10566,990,
766530,10566,990,
771540,10566,990,
776550,10566,990,
781560,10566,990,
786570,10566,990,
791580,10566,990,
796590,10566,990,
801600,10566,990,
806610,10566,990,
811620,10566,990,
816630,10566,990,
821640,10566,990,
826650,10566,990,
831660,10566,990,
836670,10566,990,
841680,10566,990,
846690,10566,990,
851700,10566,990,
856710,10566,990,
861720,10566,990,
866730,10566,990,
871740,10566,990,
876750,10566,990,
881760,10566,990,
886770,10566,990,
891780,10566,990,
896790,10566,990,
het,aob,
5010,200,100,
10020,200,100,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,441,200,
40080,588,200,
45090,734,200,
50100,824,200,
55110,964,205,
60120,1198,231,
65130,1430,264,
70140,1620,294,
75150,1813,318,
80160,2059,347,
85170,2325,371,
90180,2591,389,
95190,2824,400,
100200,3029,400,
105210,3253,400,
110220,3457,402,
115230,3670,405,
120240,3885,415,
125250,4083,428,
130260,4299,443,
135270,4506,471,
140280,4718,491,
145290,4914,512,
150300,5116,536,
155310,5314,570,
160320,5506,596,
165330,5688,624,
170340,5883,649,
175350,6071,670,
180360,6258,682,
185370,6436,700,
190380,6640,712,
195390,6828,722,
200400,7007,733,
205410,7199,745,
210420,7388,762,
215430,7569,775,
220440,7762,791,
225450,7961,806,
230460,8162,816,
235470,8326,830,
240480,8511,842,
245490,8692,851,
250500,8884,863,
255510,9072,872,
260520,9261,892,
265530,9442,907,
270540,9620,921,
275550,9819,932,
280560,10007,953,
285570,10196,962,
290580,10384,971,
295590,10570,985,
300600,10765,996,
305610,10933,1008,
310620,11111,1020,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,265,200,
25050,359,200,
30060,400,200,
35070,443,200,
40080,586,200,
45090,736,200,
50100,827,200,
55110,965,206,
60120,1209,235,
65130,1434,265,
70140,1628,298,
75150,1831,321,
80160,2078,350,
85170,2378,374,
90180,2637,389,
95190,2887,400,
100200,3104,400,
105210,3312,400,
110220,3500,402,
115230,3713,412,
120240,3965,421,
125250,4197,436,
130260,4440,453,
135270,4627,478,
140280,4850,501,
145290,5038,526,
150300,5237,563,
155310,5448,586,
160320,5640,614,
165330,5851,639,
170340,6031,658,
175350,6223,668,
180360,6414,689,
185370,6620,709,
190380,6819,726,
195390,7009,736,
200400,7185,747,
205410,7379,759,
210420,7574,774,
215430,7751,791,
220440,7952,807,
225450,8183,819,
230460,8352,835,
235470,8543,848,
240480,8747,859,
245490,8957,871,
250500,9173,888,
255510,9340,905,
260520,9519,922,
265530,9699,938,
270540,9883,943,
275550,10093,952,
280560,10280,961,
285570,10479,970,
290580,10688,987,
295590,10869,999,
300600,11091,1013,
305610,11284,1033,
het,aob,
5010,200,100,
10020,200,100,
15030,200,200,
20040,264,200,
25050,359,200,
30060,400,200,
35070,443,200,
40080,583,200,
45090,736,200,
50100,828,200,
55110,965,207,
60120,1206,236,
65130,1444,266,
70140,1639,299,
75150,1842,321,
80160,2084,353,
85170,2379,373,
90180,2668,391,
95190,2898,400,
100200,3109,400,
105210,3322,400,
110220,3556,404,
115230,3786,409,
120240,4026,419,
125250,4256,436,
130260,4440,460,
135270,4659,478,
140280,4855,508,
145290,5072,533,
150300,5265,557,
155310,5507,582,
160320,5726,615,
165330,5910,638,
170340,6129,654,
175350,6315,672,
180360,6530,696,
185370,6751,712,
190380,6916,725,
195390,7094,742,
200400,7285,753,
205410,7488,764,
210420,7692,789,
215430,7885,800,
220440,8082,813,
225450,8287,826,
230460,8486,837,
235470,8683,852,
240480,8855,866,
245490,9056,877,
250500,9267,890,
255510,9464,903,
260520,9665,919,
265530,9856,936,
270540,10065,945,
275550,10231,952,
280560,10435,966,
285570,10652,973,
290580,10857,985,
295590,11053,1000,
300600,11231,1011,
305610,11412,1024,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,450,200,
40080,585,200,
45090,740,200,
50100,828,200,
55110,969,200,
60120,1205,200,
65130,1443,200,
70140,1633,200,
75150,1842,200,
80160,2096,200,
85170,2404,200,
90180,2664,200,
95190,2883,200,
100200,3117,200,
105210,3331,200,
110220,3562,200,
115230,3782,200,
120240,3987,200,
125250,4235,200,
130260,4480,200,
135270,4693,200,
140280,4900,200,
145290,5096,200,
150300,5302,201,
155310,5496,201,
160320,5683,201,
165330,5890,203,
170340,6120,204,
175350,6316,210,
180360,6501,215,
185370,6714,225,
190380,6909,232,
195390,7100,239,
200400,7303,244,
205410,7493,253,
210420,7673,256,
215430,7875,262,
220440,8080,269,
225450,8261,276,
230460,8454,280,
235470,8655,286,
240480,8831,291,
245490,9045,295,
250500,9243,300,
255510,9440,302,
260520,9624,310,
265530,9832,313,
270540,10022,321,
275550,10202,326,
280560,10412,330,
285570,10602,333,
290580,10803,335,
295590,10998,338,
300600,11210,339,
305610,11385,340,
310620,11583,344,
315630,11777,350,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,451,200,
40080,587,200,
45090,733,200,
50100,824,200,
55110,965,200,
60120,1209,200,
65130,1434,200,
70140,1630,200,
75150,1823,200,
80160,2090,200,
85170,2387,200,
90180,2629,200,
95190,2865,200,
100200,3099,200,
105210,3301,200,
110220,3529,200,
115230,3757,200,
120240,4012,200,
125250,4218,200,
130260,4438,200,
135270,4625,200,
140280,4813,200,
145290,5000,200,
150300,5196,200,
155310,5410,200,
160320,5633,201,
165330,5837,204,
170340,6023,206,
175350,6213,211,
180360,6415,216,
185370,6613,219,
190380,6780,227,
195390,6974,231,
200400,7181,234,
205410,7381,240,
210420,7558,246,
215430,7770,255,
220440,7956,260,
225450,8138,264,
230460,8359,266,
235470,8552,272,
240480,8726,280,
245490,8936,287,
250500,9136,290,
255510,9322,297,
260520,9508,306,
265530,9692,308,
270540,9933,310,
275550,10114,315,
280560,10304,316,
285570,10511,317,
290580,10717,320,
295590,10903,324,
300600,11091,324,
305610,11275,328,
310620,11461,330,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,451,200,
40080,586,200,
45090,737,200,
50100,825,200,
55110,959,200,
60120,1202,200,
65130,1428,200,
70140,1625,200,
75150,1822,200,
80160,2063,200,
85170,2359,200,
90180,2614,200,
95190,2843,200,
100200,3071,200,
105210,3274,200,
110220,3484,200,
115230,3712,200,
120240,3926,200,
125250,4151,200,
130260,4368,200,
135270,4589,200,
140280,4785,200,
145290,4997,200,
150300,5205,201,
155310,5440,202,
160320,5622,205,
165330,5811,207,
170340,6021,210,
175350,6205,211,
180360,6398,212,
185370,6565,217,
190380,6762,222,
195390,6953,228,
200400,7148,232,
205410,7332,237,
210420,7541,245,
215430,7708,250,
220440,7906,255,
225450,8104,257,
230460,8290,265,
235470,8484,267,
240480,8676,274,
245490,8861,280,
250500,9062,285,
255510,9232,292,
260520,9433,293,
265530,9632,299,
270540,9824,301,
275550,10005,307,
280560,10189,309,
285570,10387,311,
290580,10593,315,
295590,10771,319,
300600,10935,326,
305610,11139,328,
310620,11319,332,
315630,11507,337,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,451,200,
40080,583,200,
45090,733,200,
50100,824,200,
55110,960,200,
60120,1203,200,
65130,1432,200,
70140,1626,200,
75150,1816,200,
80160,2062,200,
85170,2356,200,
90180,2595,200,
95190,2831,200,
100200,3052,200,
105210,3283,200,
110220,3506,200,
115230,3704,200,
120240,3924,200,
125250,4134,200,
130260,4361,200,
135270,4572,200,
140280,4779,200,
145290,4965,200,
150300,5172,201,
155310,5360,203,
160320,5554,204,
165330,5769,205,
170340,5950,207,
175350,6131,211,
180360,6309,212,
185370,6495,215,
190380,6686,219,
195390,6860,226,
200400,7063,231,
205410,7232,236,
210420,7435,242,
215430,7618,246,
220440,7812,248,
225450,7993,258,
230460,8192,262,
235470,8389,264,
240480,8578,268,
245490,8778,271,
250500,8960,280,
255510,9139,285,
260520,9328,290,
265530,9514,297,
270540,9692,302,
275550,9912,306,
280560,10084,308,
285570,10283,312,
290580,10481,317,
295590,10674,320,
300600,10861,322,
305610,11039,326,
310620,11207,330,
315630,11385,334,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,450,200,
40080,583,200,
45090,735,200,
50100,824,200,
55110,964,200,
60120,1197,200,
65130,1429,200,
70140,1617,200,
75150,1814,200,
80160,2046,200,
85170,2339,200,
90180,2579,200,
95190,2828,200,
100200,3034,200,
105210,3225,200,
110220,3439,200,
115230,3644,200,
120240,3881,200,
125250,4105,200,
130260,4332,200,
135270,4524,200,
140280,4718,200,
145290,4935,200,
150300,5126,201,
155310,5331,201,
160320,5515,202,
165330,5699,204,
170340,5894,207,
175350,6077,207,
180360,6250,210,
185370,6432,214,
190380,6624,217,
195390,6791,224,
200400,6969,225,
205410,7167,232,
210420,7378,240,
215430,7533,244,
220440,7733,252,
225450,7913,259,
230460,8083,261,
235470,8301,266,
240480,8483,271,
245490,8651,274,
250500,8838,277,
255510,9040,281,
260520,9234,285,
265530,9413,291,
270540,9609,294,
275550,9811,301,
280560,9987,303,
285570,10178,309,
290580,10351,314,
295590,10524,316,
300600,10703,319,
305610,10890,324,
310620,11095,328,
315630,11312,336,
320640,11496,339,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,449,200,
40080,582,200,
45090,733,200,
50100,825,200,
55110,963,200,
60120,1196,200,
65130,1426,200,
70140,1612,200,
75150,1796,200,
80160,2032,200,
85170,2318,200,
90180,2564,200,
95190,2804,200,
100200,3017,200,
105210,3214,200,
110220,3411,200,
115230,3629,200,
120240,3849,200,
125250,4064,200,
130260,4290,200,
135270,4482,200,
140280,4673,200,
145290,4886,200,
150300,5061,200,
155310,5267,200,
160320,5455,201,
165330,5630,202,
170340,5818,203,
175350,6012,206,
180360,6199,209,
185370,6358,213,
190380,6547,215,
195390,6752,219,
200400,6934,224,
205410,7122,229,
210420,7294,234,
215430,7496,240,
220440,7668,245,
225450,7842,250,
230460,8010,259,
235470,8186,264,
240480,8376,268,
245490,8550,272,
250500,8726,276,
255510,8910,281,
260520,9122,288,
265530,9290,294,
270540,9501,299,
275550,9684,306,
280560,9862,309,
285570,10043,311,
290580,10223,312,
295590,10397,314,
300600,10567,316,
305610,10761,319,
310620,10938,324,
315630,11124,326,
320640,11292,331,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,264,100,
25050,359,100,
30060,400,200,
35070,447,200,
40080,583,200,
45090,732,200,
50100,826,200,
55110,958,200,
60120,1191,200,
65130,1422,200,
70140,1608,200,
75150,1794,200,
80160,2019,200,
85170,2303,200,
90180,2546,200,
95190,2776,200,
100200,3000,200,
105210,3177,200,
110220,3377,200,
115230,3608,200,
120240,3823,200,
125250,4029,200,
130260,4217,200,
135270,4397,200,
140280,4612,200,
145290,4805,200,
150300,4984,200,
155310,5183,200,
160320,5390,201,
165330,5565,201,
170340,5746,201,
175350,5909,203,
180360,6104,205,
185370,6308,209,
190380,6482,211,
195390,6658,220,
200400,6832,223,
205410,7014,227,
210420,7198,233,
215430,7372,238,
220440,7531,241,
225450,7702,245,
230460,7883,250,
235470,8076,253,
240480,8248,259,
245490,8412,269,
250500,8603,271,
255510,8791,281,
260520,8974,287,
265530,9162,291,
270540,9333,298,
275550,9514,301,
280560,9704,303,
285570,9889,305,
290580,10063,309,
295590,10239,309,
300600,10413,317,
305610,10603,321,
310620,10783,322,
315630,10973,325,
320640,11145,326,
325650,11331,329,
het,aob,
5010,200,100,
10020,200,100,
15030,200,100,
20040,265,100,
25050,359,100,
30060,400,200,
35070,450,200,
40080,582,200,
45090,731,200,
50100,827,200,
55110,962,200,
60120,1192,200,
65130,1424,200,
70140,1607,200,
75150,1798,200,
80160,2034,200,
85170,2296,200,
90180,2546,200,
95190,2784,200,
100200,2996,200,
105210,3196,200,
110220,3394,200,
115230,3610,200,
120240,3834,200,
125250,4034,200,
130260,4206,200,
135270,4400,200,
140280,4603,200,
145290,4809,200,
150300,4996,200,
155310,5215,200,
160320,5386,201,
165330,5561,202,
170340,5747,203,
175350,5923,207,
180360,6118,210,
185370,6300,215,
190380,6484,218,
195390,6675,220,
200400,6858,222,
205410,7043,231,
210420,7215,232,
215430,7397,238,
220440,7597,242,
225450,7779,245,
230460,7931,249,
235470,8131,254,
240480,8318,261,
245490,8486,267,
250500,8670,274,
255510,8837,282,
260520,9005,287,
265530,9189,292,
270540,9364,298,
275550,9561,303,
280560,9752,306,
285570,9941,311,
290580,10101,312,
295590,10259,313,
300600,10435,318,
305610,10628,320,
310620,10829,323,
315630,11035,325,
320640,11212,328,
325650,11401,331,
